ResponseId,zipcode
R_1CeBs9N3ou7XutY,98201
R_21dpOKZfifEEtPy,17050
R_2uxPPF46JsWTOq4,32825
R_2ygyIvtnEj4283d,63353
R_qEr5mJqwwSjaXPr,33991
R_2wMOdYEWUSSSCyF,84096
R_25Bdp6cFnavcBxd,93704
R_wOb7ZYzQSJXp2jn,48910
R_1hDMszWWZiizK3k,19139
R_3kp707xsLQS8S7I,61032
R_2fGM3XUBrVWahDG,60628
R_BPNngc5ArUnWF69,19136
R_2ZEL5fZuihSPrZU,11367
R_2atz1T6HDslzNtH,57738
R_22Ea861U8Zy28Fk,32744
R_3h6IHSu3Dqg69Bb,11786
R_1nPkzDxuYQep3cn,23832
R_2w7tC1DyaiZBIdT,8824
R_1E5MQLVb11pSFBd,41093
R_2CmlcE2dt8mlp30,21225
R_1flnNnyf0tJZjsh,30044
R_O8XCHf7GX1GD5Tj,89119
R_2bPs0MO9Xf0ZT2B,32605
R_1IAx3rtcLRLd2YN,43506
R_UfhmXVXDIHYWP6N,98225
R_1CazfmekR22Xz80,33071
R_XTeFmkaPBLNFI4N,72762
R_dm4wLgMHd4trsEF,44281
R_3L6fHjgSJVKFFU1,39466
R_2f2S2kiDu3135Nc,27104
R_3nOhTNpbpU9Bob5,90059
R_2sR7XBYuo20jbHL,I am not sure.
R_1otHIrtOJ0b41eg,28327
R_3O64ShkxlrMS2ir,96793
R_2amhB8J0oGwn3iy,47987
R_2scDXpVZTQeqM0a,40324
R_1Gy6JSu1dGzifAr,93306
R_3CIpRnpoxM9YVT9,48235
R_3NKwLgjYGx96kDB,91732
R_2XjKICVtxg95w7z,48212
R_2Yb4fFfE4LpXkGd,40330
R_1kHVmEKR6X6zBtF,19111
R_2ZCa65U97TjpXq6,6450
R_3246xorGgYVDTPt,94588
R_1JXR4TKClU5C6Tr,14160
R_1H5JbpHHK1ZYIMj,94103
R_Umrx8o06QaBkgbD,10024
R_1gGtUUxg2ClS4ts,80516
R_3lKr0pq8hl8bvBT,34974
R_ezhMKcW1sCOyMkp,62960
R_1j8qWjNXtMqW2y8,80111
R_2CPmZpskuglhZNp,99588
R_1jIK9kWyxZ4GBTc,41102
R_2OJfwU7mglqiAtx,60615
R_2tb9bXc0jr06jll,85012
R_1Hdd85CrmAVh9je,19701
R_22PofHldK3g5puU,21117
R_3IQ5FgnQgSKcFFD,88317
R_2TueIEsmPuLgn1J,31416
R_3qPxsXn7eJ9rfJP,10994
R_PNXZmdVGFuNJwwp,2138
R_3s6OsEV706b8mJI,19001
R_24oAJGUusfHlxNS,14623
R_3CPEcCrCQTkFyW7,12207
R_3FLO3rjTmNvGuel,80021
R_2BtIxu9HJpxgZcY,52403
R_V2qM4i1KohFq67n,95403
R_2Pju33Vj9Gf43HT,72417
R_1ptk49vY8VR5hFm,85226
R_2Yif5oy0X2t1XM8,19078
R_2zC45SZyVQajeh0,56069
R_3hzpQD1i4ll1j05,96786
R_XZDnpt2yR2EDK25,25951
R_1E10bqhhpkopld7,40214
R_2fDa8a3Blu3bkuK,90210
R_1MXt762xMlvWKmD,75252
R_3MKi7Pw481SS6Lk,29906
R_1d4bnqyZFMirlks,90045
R_20MuBOGEXdk1gDB,21403
R_27PTuqRaI43nDjy,19041
R_xsHgCB5E88Qn3Vv,76137
R_1eIPlBNjMGgLu8w,92886
R_1ONuicrVJnGTiam,21221
R_1NqVVYDZqA9tefx,60623
R_2RX0hSuvVmvH5FS,93274
R_enwMc6OG5jEcFwt,32205
R_3fUDeosC3Jlx2Lr,92660
R_swkeJFwlbbzqCI1,40050
R_2DP7vpd6POnYaPW,15005
R_3QMf7f4y12NWdog,89102
R_1rwabv0gfBzp5m5,90033
R_33wYe16eBilp6ZA,90063
R_10SrCXAISiWdfSt,66606
R_2Se2Xt7sOcmBjuc,19201
R_0kMEMMysBhkiodH,33321
R_OB9jjyzJdjhiPMR,21060
R_3kgOq05gwJbOYGE,1721
R_3LiszCFpzvuPfQP,57701
R_3MrGSGoA0dXUcfl,60056
R_09v3BmnYnbZaCgF,7649
R_1kRLLvnw8b01ghs,70601
R_1rIIZeV6fDb1uDo,78639
R_2TOcZnl3PzmZ8bu,22963
R_2qxYmwFAunEc8yr,60016
R_2Xor7FE8Im6vVc1,91311
R_2s5swV59nPKYvWh,24277
R_10JCHyxNHFmJekw,30707
R_1hQJdZUqcUctD3G,85308
R_3L5cyKXV3BzrjkA,6070
R_3ETiySebaSEGVVd,78245
R_3Pdz8OIkYZfZYoQ,15147
R_2XcYDb48o69ADO1,75972
R_2VvZQgtO6Uuxo5Z,44077
R_12rPtaHtzPHgNiA,12831
R_3JttCuvrd1Xvlee,28314
R_DT3Yh40lHoqtXHP,96813
R_2sXgkrgWMl6okJu,18102
R_1hAN1C2PBTegcwN,44107
R_RlSx99UsiyPAfVD,56031
R_zZrQ3MDL0xddAFX,8560
R_3NP12j1cSw5PR0a,30642
R_YQ4WQw7kQJM0zzr,87015
R_25v9HSu2Aw6VIx2,90047
R_25uMmBmFgnGJest,48310
R_1LBcF8urd61Mabn,47348
R_3q7eF5cqJQKKZw9,31419
R_3hACvFNxntR6jc1,14150
R_3qg8wGysYbY0Bws,60134
R_3fAYbiaFWf47By5,45371
R_3kwat6jxCHF4HrH,30318
R_1P6Ii8WBGfmVGqZ,95776
R_2YodmA2t1iDA4LT,44095
R_1Kxp9wpk9CwZclM,77056
R_2axmI9YKdfmdTcj,19403
R_3D0y1u0r64YrcNc,3110
R_8e2ljFFX6twz4Sl,22314
R_1gnzzJQKZSMm2JP,98579
R_xl5P5McUVhdwj17,43031
R_21hMGisqk88HE24,1475
R_2rABqfQyS5vPKvw,74801
R_2SJN2Q3paIx08Ux,8302
R_33pNx3moQrH1KUj,18966
R_vw4THf00HMtsdrj,15229
R_1MQfohbZ1L4FI36,7103
R_2VpWEiPSAeJJlSn,73401
R_9n5uTtPGoVx7YIN,78542
R_3HZYjHtmAzLtBOW,29907
R_1OlDkZdRR1EdeAb,48315
R_3PGjG6w3HdjdtqE,66209
R_0jHcFl7gA1VAOuB,32405
R_2TYspVWS7vr8gOw,89115
R_3jdjd9A6wzv0rkF,95401
R_DtSfbq95VSz2ctH,84097
R_3fk0LLtmRsdJFon,42701
R_3gShUojttSlRx7f,98092
R_1gvyCISGqdUP4oj,32168
R_Wk8nz5vKX8VcMbD,75040
R_1CpSKu9rIYDhc7L,78757
R_1CD497EsNkSuyTc,85032
R_2SlvBsRme4cd0l3,96817
R_2WMSfa1O6l5ixOF,32708
R_1jK6mM2OflVWmfb,79936
R_2tMeBZDkFDth69w,44052
R_3qpSitx76Q3u7JD,94949
R_3qxj5USAbZk1ZXt,60081
R_2dEHpd6XOHxhdzv,39503
R_3rU1dDsBeFUXFDp,95409
R_DuWuJ91fRIlEUq5,95124
R_2cBnQthkvrdtcQz,5850
R_2f0VSUnPl25kJC6,85541
R_3qlgFbkUaUfwavC,11214
R_Xnt90GtzyI1uJK9,27105
R_1F9TAvCpLjH9pnD,64070
R_1ILURetLUibTMWz,30044
R_2E6tHPsNir6Cjgi,81321
R_1RZpexAr0qapMUp,85122
R_PUMrcpABDLyhzwZ,92410
R_3pfjYAE0uW5IIwA,85326
R_3maufwgd3AaU076,41092
R_247B98RJu7SaGxn,98512
R_3Ej9B7RFN4x4ymr,77450
R_qFnf2b4tLZEckyR,43004
R_2hL50KOjs2qKmE9,75124
R_12zPHksyxZz5MTy,2482
R_3koKXb9cPCtGK3I,1201
R_b73SbaBgqYmF3m9,99723
R_1H7C4cKJAds7wFf,2072
R_1MM6xDCuB4SQSq7,30338
R_1jB8wq4E0pyhrG2,61822
R_cv8QZXBdZpxDZcJ,42071
R_W3720l7PrMnYSsh,23834
R_1NmEUHeHH9yylY2,21157
R_3fj8BpotJ127Vs7,28216
R_1OpqL8nDuZacqOU,41074
R_d6EYTh6k89TaWrf,50111
R_2Vm7ImecwDOuxLy,21801
R_4GdQL7wKCtj7GNz,6511
R_2BqHF5rEw9cWub7,74006
R_1doBEaYrc0tc3w8,6450
R_xDjzAIG2BYR2b5v,94533
R_2aDUIO0xC3v77Bn,38343
R_22PrqWmMAj7Nboe,50316
R_tLjBSRPsRYuSwW5,48917
R_3G7iFMAGUSucR0f,80524
R_3CSYXq5RR7MeaBJ,33441
R_0vrOyNEqOgECIZX,49401
R_11d3Smn3LQ8fV5b,93727
R_DqR4Q8HxZea0TsZ,32669
R_2vhKqw5V0IlpmvE,80910
R_3h45VUD6qvJe0NA,98661
R_81yvjBGqoKz3Wy5,57064
R_2VwDg9BaluyAryM,20878
R_1etwLGDZPW7P0Y9,32534
R_1f8CRNLn9k3espk,84059
R_2V7KGiiFzlN6A2D,85716
R_2YS3vItPoOiAFKL,44241
R_6g6D53cNg7twSlz,60538
R_YRiRXKV8zgtZ8vT,97009
R_3gZ71aVq5yZy7Pe,98277
R_31n4rU1VBPZYu6k,49091
R_40J7oS9r9rMNKwN,8094
R_1QnDNCyIrhGBhxf,64037
R_22Vn7DYfSbhoP2s,20878
R_3Jyqx96u3SRSfZp,19947
R_1iri2mewwkKuGou,11751
R_bwombGsHjP9hz4l,27587
R_1ghwBSPUmxOPGgy,46030
R_1NrlOSv7Pgon7oe,60107
R_3EJPSl7MMld8Fid,30901
R_3nSgnw2f5gQO18l,39401
R_RLbZSS48VEBriLv,10458
R_8ib3ALIsZOm51Ch,2188
R_YWFdzQndfirYnq9,21754
R_2dKdJIJnTAsdyLc,75089
R_tDKWV3WoWPH4iPL,27513
R_2tDWAV3xa7s1JIs,20724
R_Btwqnvd6VesYrMl,44113
R_pgZLRCOoymkaj6h,32258
R_3iJCbFzliPeKMB2,47203
R_DT2SBsQbhWDMurf,61616
R_WcwZFzLPgNjOoWl,78387
R_240r0BU0Skbs9B3,77070
R_2YsRxpgEIllSKx5,75050
R_2ZTvDEkYCkRrnIi,43125
R_3hxAfwORNAvq8BJ,60462
R_rdRFv9SVisFTmV3,33705
R_VUUYznmXMtY6Ii5,60605
R_3LZwd13MRQu1A6v,36207
R_1H1O9zew0HTNwP7,19057
R_1OEaJfm89zaqODw,28079
R_5gXMu9T9U3SzJ5L,51555
R_3fqLCMnwKeCPABW,60505
R_siKoxGwwK66HuSJ,48601
R_1DGudaLGKoXacJJ,85387
R_1n3p3hf061Z9s38,59803
R_YSOqzJagUPuFdJL,95123
R_6F44yNby8DbFhrH,27573
R_3KvxBBoPQpGU08w,73160
R_SUmzSqGmdM6c3xT,44133
R_3lJMMIBEjbSQRbh,40214
R_UnAOhJihuKbEs5H,31082
R_QoaNsR1VHcGSFK9,55337
R_27Vco2SVdJfbgH3,42211
R_3dY4jcCwGd7I8Qj,21215
R_2uX2W5NLChvFx0L,55432
R_3HtX8eDczrOtqrB,30720
R_pA7fDWYPBrqa0V3,2703
R_2v6QhYbJKYQk1Tc,96101
R_28Pa9E5RouU8onA,65605
R_1Ca7uAzPLjt6Btl,39401
R_ThejeumvLkAaryF,53546
R_3IvTNpijxHlOhcR,93274
R_3nudWIDuP0D1YxG,7740
R_1fk47fM9Dsric0e,22204
R_1QB2FnZFQqFATKI,38501
R_27qh5FhMzLAYI9l,21638
R_24dwgSOibovPjeR,43228
R_xyYMMyDGrTWb8Kl,98004
R_Z9I5rwIcPzhOOwp,43206
R_1rk6cmUUlQccPND,38462
R_27vxLPGQyanZoVA,85040
R_2VsjKKVUzVhSDmd,90220
R_AG5KB0ULbA4uglr,30141
R_3HYO2yykN198u4C,19522
R_1EbTNIr2IX2Ptql,7645
R_1gjpx5oz5uIx6b8,60561
R_3qK9wG4zRwdsTLw,10924
R_2rZsEuCIR5lIH6o,44060
R_1difmvjnTwT3Ali,29388
R_3qs1btK4ysrLFxI,40218
R_3iI552KhrRLBcSV,47348
R_1rv0JInr3MFOm6i,47421
R_1GN6oq1gp3LIDPQ,11520
R_3po5e1A2iHP1vAL,43026
R_2y31QEJXgcLIg1W,20007
R_1DnwoBtOj8fIaf9,8021
R_ULVN0EN4DXgdu8x,2482
R_2uR1jRZ4KOGXoZP,35906
R_28V5rWUb1Mb7UWI,60060
R_2dz2kBEMgs7KHrL,29745
R_3Etz6eTms5JOzJ4,92647
R_1fZS4Sw3pASY1Ph,71037
R_6z2P1CIyLEW7F2V,69141
R_1mE1weWKNmPuKHQ,8080
R_2ZNtjnkc0debmkE,24605
R_1QA6cr0XqdWYL6F,27530
R_ZwSkgRtZP6Vdumd,8069
R_2ZPIt7dxZ3Jh0S8,38111
R_11jPMwh7Rylguyi,63130
R_AI55CkygCYGmlWN,31313
R_1f6QrrgsDamH5yl,37354
R_1mV664hO8F178gs,88030
R_3yP3FyFpSQEEfLz,3861
R_3IaaJLM3KuWBySJ,48854
R_6A88NusHZmK6drj,16917
R_C4bXBBwVj7ux1Ch,61109
R_3lXo27TuhDo3oIc,60502
R_1mKpjaQzSqlPttk,76667
R_1C8DhkpL5xG9o6F,20009
R_vug4QLLbRkS8GD7,16865